name	reasons
Torikaze	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
菰城宴	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
老地方面馆	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
小陶面馆	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
临湖素食	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
瑰禧	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
157食坊	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
逸采(静安)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
渔都老味面	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
渔哥·湛江(静安)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
Aster by Joshua Paris	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
之舞	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
Cellar to Table	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
海味观(静安)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
上海总会	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
宏玉方	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
Trine	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
馨源楼	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
Scilla	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
永·江臻	evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
古铜法式餐厅	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
滇道(静安)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
徐记海鲜(徐汇)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
永丰面馆(黄浦)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
Shaughnessy	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
沼田双	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
和膳面家	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
川粤海棠(长宁)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
外滩·林家一	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
徽季	evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
悦轩	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
周舍(闵行)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
宁海食府	address 过短或为空（渠道链补齐，不留空） | signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
阿勇面馆(东书房路)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
Arva	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
菁禧荟(长宁)	signature_dishes 少于 2 道 | evidence_summary 不足200字（当前 0） | 存在无 URL 的食客证据（一手信源强制） | 存在无 URL 的食客证据（一手信源强制） | 没有任何一条含具体菜品/体验的堂食证据（反软广不通过） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | sources 少于 2 个独立来源 | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
味香斋(雁荡路店)	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
福廬 FULL HOUSE	evidence_summary 不足200字（当前 0）
老兴鲜(黄浦店)	evidence_summary 不足200字（当前 0） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测） | 来源类型少于2类（当前 ['official_guide']；须 UGC + 官方指南/媒体/地图 至少两类）
悦轩(上海柏悦酒店)	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前1；媒体/官方/榜单/品牌稿不计入食客数） | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
nagi 凪	evidence_summary 不足200字（当前 0）
鮨·天照 Omakase(南京西路店)	evidence_summary 不足200字（当前 0）
Hulu Sushi 葫芦寿司	evidence_summary 不足200字（当前 0） | 真实食客UGC堂食原话少于2条（当前0；媒体/官方/榜单/品牌稿不计入食客数） | 缺 platform_scores | sources 无任何食客 UGC 来源（媒体/榜单/品牌稿不能替代食客实测）
TEN HASU 天妇罗专门	evidence_summary 不足200字（当前 0） | 缺 platform_scores
隅木食物所·台湾红烧牛肉面·台式小火锅(上生新所店)	evidence_summary 不足200字（当前 0） | 缺 platform_scores
欢桃餐酒馆 Eatery & Bistro	evidence_summary 不足200字（当前 0） | 缺 platform_scores
